Lastname,Firstname,Authorname,JoinedAsBuilder,Affiliation,ORCID
Rincon,Hernan,H.~Rincon,False,"Department of Physics \& Astronomy, University of Rochester, 206 Bausch and Lomb Hall, P.O. Box 270171, Rochester, NY 14627-0171, USA",0009-0001-1962-3924

BenZvi,Segev,S.~BenZvi,False,"Department of Physics \& Astronomy, University of Rochester, 206 Bausch and Lomb Hall, P.O. Box 270171, Rochester, NY 14627-0171, USA",0000-0001-5537-4710

Douglass,Kelly,K.~Douglass,False,"Department of Physics \& Astronomy, University of Rochester, 206 Bausch and Lomb Hall, P.O. Box 270171, Rochester, NY 14627-0171, USA",0000-0002-9540-546X

Veyrat,Dahlia,Dahlia Veyrat,False,"Department of Physics \& Astronomy, University of Rochester, 206 Bausch and Lomb Hall, P.O. Box 270171, Rochester, NY 14627-0171, USA",0000-0001-8101-2836

Aguilar,Jessica Nicole,J.~Aguilar,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",

Ahlen,Steven,S.~Ahlen,True,"Physics Dept., Boston University, 590 Commonwealth Avenue, Boston, MA 02215, USA",0000-0001-6098-7247

Bianchi,Davide,D.~Bianchi,True,"Dipartimento di Fisica ``Aldo Pontremoli'', Universit\`a degli Studi di Milano, Via Celoria 16, I-20133 Milano, Italy",0000-0001-9712-0006

Brooks,David,D.~Brooks,True,"Department of Physics \& Astronomy, University College London, Gower Street, London, WC1E 6BT, UK",

Claybaugh,Todd,T.~Claybaugh,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",

Cole,Shaun,S.~Cole,True,"Institute for Computational Cosmology, Department of Physics, Durham University, South Road, Durham DH1 3LE, UK",0000-0002-5954-7903

de la Macorra,Axel ,A.~de la Macorra,True,"Instituto de F\'{\i}sica, Universidad Nacional Aut\'{o}noma de M\'{e}xico,  Cd. de M\'{e}xico  C.P. 04510,  M\'{e}xico",0000-0002-1769-1640

Doel,Peter,P.~Doel,True,"Department of Physics \& Astronomy, University College London, Gower Street, London, WC1E 6BT, UK",

Font-Ribera,Andreu,A.~Font-Ribera,True,"Department of Physics \& Astronomy, University College London, Gower Street, London, WC1E 6BT, UK",0000-0002-3033-7312
Font-Ribera,Andreu,A.~Font-Ribera,True,"Institut de F\'{i}sica d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra Barcelona, Spain",0000-0002-3033-7312

Forero-Romero,Jaime E.,J.~E.~Forero-Romero,True,"Departamento de F\'isica, Universidad de los Andes, Cra. 1 No. 18A-10, Edificio Ip, CP 111711, Bogot\'a, Colombia",0000-0002-2890-3725
Forero-Romero,Jaime E.,J.~E.~Forero-Romero,True,"Observatorio Astron\'omico, Universidad de los Andes, Cra. 1 No. 18A-10, Edificio H, CP 111711 Bogot\'a, Colombia",0000-0002-2890-3725

Gaztañaga,Enrique,E.~Gaztañaga,True,"Institut d'Estudis Espacials de Catalunya (IEEC), 08034 Barcelona, Spain",
Gaztañaga,Enrique,E.~Gaztañaga,True,"Institute of Cosmology and Gravitation, University of Portsmouth, Dennis Sciama Building, Portsmouth, PO1 3FX, UK",
Gaztañaga,Enrique,E.~Gaztañaga,True,"Institute of Space Sciences, ICE-CSIC, Campus UAB, Carrer de Can Magrans s/n, 08913 Bellaterra, Barcelona, Spain",

Gontcho A Gontcho,Satya ,S.~Gontcho A Gontcho,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-3142-233X

Gutierrez,Gaston,G.~Gutierrez,True,"Fermi National Accelerator Laboratory, PO Box 500, Batavia, IL 60510, USA",

Honscheid,Klaus,K.~Honscheid,True,"Center for Cosmology and AstroParticle Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",
Honscheid,Klaus,K.~Honscheid,True,"Department of Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",
Honscheid,Klaus,K.~Honscheid,True,"The Ohio State University, Columbus, 43210 OH, USA",

Howlett,Cullan,C.~Howlett,True,"School of Mathematics and Physics, University of Queensland, 4072, Australia",0000-0002-1081-9410

Juneau,Stephanie,S.~Juneau,True,"NSF NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA",

Kehoe,Robert,R.~Kehoe,True,"Department of Physics, Southern Methodist University, 3215 Daniel Avenue, Dallas, TX 75275, USA",

Koposov,Sergey,S.~E.~Koposov,True,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",0000-0003-2644-135X
Koposov,Sergey,S.~E.~Koposov,True,"Institute of Astronomy, University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK",0000-0003-2644-135X

Lambert,Andrew,A.~Lambert,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",

Landriau,Martin,M.~Landriau,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-1838-8528

Le Guillou,Laurent,L.~Le~Guillou,True,"Sorbonne Universit\'{e}, CNRS/IN2P3, Laboratoire de Physique Nucl\'{e}aire et de Hautes Energies (LPNHE), FR-75005 Paris, France",0000-0001-7178-8868

Meisner,Aaron,A.~Meisner,True,"NSF NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA",0000-0002-1125-7384

Miquel,Ramon,R.~Miquel,True,"Instituci\'{o} Catalana de Recerca i Estudis Avan\c{c}ats, Passeig de Llu\'{\i}s Companys, 23, 08010 Barcelona, Spain",
Miquel,Ramon,R.~Miquel,True,"Institut de F\'{i}sica d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra Barcelona, Spain",

Moustakas,John,J.~Moustakas,True,"Department of Physics and Astronomy, Siena College, 515 Loudon Road, Loudonville, NY 12211, USA",0000-0002-2733-4559

Niz,Gustavo,G.~Niz,True,"Departamento de F\'{i}sica, Universidad de Guanajuato - DCI, C.P. 37150, Leon, Guanajuato, M\'{e}xico",0000-0002-1544-8946
Niz,Gustavo,G.~Niz,True,"Instituto Avanzado de Cosmolog\'{\i}a A.~C., San Marcos 11 - Atenas 202. Magdalena Contreras, 10720. Ciudad de M\'{e}xico, M\'{e}xico",0000-0002-1544-8946

Percival,Will,W.~J.~Percival,True,"Department of Physics and Astronomy, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",0000-0002-0644-5727
Percival,Will,W.~J.~Percival,True,"Perimeter Institute for Theoretical Physics, 31 Caroline St. North, Waterloo, ON N2L 2Y5, Canada",0000-0002-0644-5727
Percival,Will,W.~J.~Percival,True,"Waterloo Centre for Astrophysics, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",0000-0002-0644-5727

